subject_id,scan_uid
50002,I328631
50003,I328410
50005,I329244
50006,I329424
50008,I328981
50009,I329105
50010,I329050
50011,I329085
50013,I329386
50015,I329084
50016,I328724
50017,I329431
50019,I328690
50024,I328665
50025,I328994
50026,I328711
50027,I328491
50030,I329381
50031,I329165
50032,I328802
50033,I329469
50035,I328429
50037,I328583
50038,I329196
50041,I328896
50042,I328821
50043,I328578
50045,I328388
50046,I328374
50047,I328616
50048,I328378
50049,I328548
50050,I328317
50051,I328879
50052,I329195
50054,I328862
50055,I329239
50057,I328919
50059,I329321
50102,I328742
50103,I328416
50105,I329053
50106,I329214
50107,I329164
50108,I328592
50109,I328797
50111,I329149
50112,I329185
50113,I328649
50116,I328747
50117,I328338
50119,I329308
50120,I328689
50121,I328364
50122,I329193
50124,I329250
50126,I328845
50127,I329253
50128,I328918
50131,I329077
50132,I329266
50135,I328872
50136,I329063
50146,I329743
50147,I329770
50148,I329658
50149,I329753
50150,I329674
50153,I329761
50155,I329767
50156,I329688
50157,I329738
50158,I329769
50159,I329698
50161,I329771
50163,I329683
50165,I329675
50166,I329713
50167,I329754
50168,I329725
50169,I329773
50170,I329714
50171,I329670
50182,I328573
50183,I328980
50184,I329074
50187,I329264
50188,I328316
50189,I329212
50190,I329182
50192,I329285
50194,I328557
50196,I329179
50197,I329328
50198,I328842
50199,I328846
50200,I328575
50201,I328580
50202,I328446
50203,I328855
50204,I328371
50205,I328875
50207,I329291
50208,I328934
50209,I329433
50210,I328682
50211,I329073
50212,I328540
50213,I328444
50214,I328318
50217,I328532
50232,I330310
50234,I330330
50235,I330295
50236,I330319
50237,I330313
50241,I330273
50243,I330331
50245,I330278
50247,I330317
50248,I330282
50249,I330297
50250,I330328
50251,I330307
50252,I330290
50253,I330281
50254,I330321
50255,I330326
50257,I330275
50260,I330289
50262,I330340
50265,I330287
50266,I330316
50267,I330323
50268,I330336
50270,I330306
50272,I329113
50273,I328428
50274,I328415
50275,I329139
50276,I328509
50277,I328773
50278,I328533
50280,I328511
50281,I328481
50282,I329298
50283,I328495
50284,I329049
50285,I328537
50286,I329272
50287,I328311
50289,I328995
50291,I328782
50293,I329409
50296,I328780
50297,I329221
50298,I328795
50299,I329429
50300,I328405
50301,I329402
50303,I329290
50304,I329175
50305,I328718
50307,I329146
50308,I329453
50309,I329284
50311,I328508
