subject_id,scan_uid
50004,I328736
50007,I329131
50014,I328688
50022,I329223
50023,I328308
50028,I328636
50034,I328955
50036,I328368
50040,I328888
50044,I328435
50053,I329133
50058,I328370
50114,I329004
50115,I329064
50123,I328783
50125,I328659
50129,I328394
50152,I329741
50185,I329102
50186,I329435
50191,I328490
50193,I328740
50206,I328409
50215,I328772
50233,I330324
50238,I330288
50239,I330305
50240,I330302
50259,I330301
50264,I330296
50295,I328431
50306,I328952
50327,I329369
50331,I329046
50333,I329340
50337,I328576
50370,I329315
50382,I329417
50385,I328686
50386,I328970
50408,I328560
50413,I329168
50415,I329243
50417,I328851
50427,I328296
50432,I329256
50448,I329061
50454,I328693
50476,I329283
50482,I328967
50491,I329089
50503,I328881
50513,I328679
50524,I328574
50527,I328814
50562,I328840
50609,I328745
50613,I328678
50624,I328880
50655,I328916
50661,I328684
50698,I328538
50723,I328623
50730,I328363
50744,I328347
50748,I329080
50773,I328912
50777,I329319
50780,I328392
50793,I328503
50795,I329238
50822,I329376
50825,I328743
50826,I329426
50968,I328622
50988,I328759
51001,I328579
51003,I329129
51019,I329323
51047,I328699
51058,I328558
51059,I328677
51062,I328512
51064,I329034
51070,I329032
51089,I329094
51117,I328683
51130,I329192
51147,I328838
51148,I328957
51173,I330320
51182,I330298
51183,I328796
51194,I328923
51197,I328827
51209,I326792
51209,I328719
51211,I326730
51211,I329060
51215,I326827
51215,I328777
51225,I326834
51225,I329420
51244,I326664
51246,I326758
51255,I326768
51255,I329086
51259,I326830
51259,I329199
51268,I326684
51268,I329305
51270,I326680
51278,I326652
51278,I328899
51303,I326787
51303,I329166
51304,I326782
51304,I328727
51306,I326838
51306,I329255
51314,I326839
51314,I329226
51316,I329387
51331,I328850
51338,I329163
51340,I328332
51346,I329278
51351,I329011
51355,I328853
51365,I328874
51457,I329311
51461,I328707
51465,I328460
51468,I328922
51471,I329054
51478,I329059
51488,I329158
51558,I329352
51561,I329227
51563,I328849
51571,I329068
51574,I328746
51575,I329091
51582,I329436
51584,I328412
