subject_id,scan_uid
2,I002
12,I012
13,I013
14,I014
15,I015
16,I016
17,I017
19,I019
20,I020
21,I021
22,I022
23,I023
24,I024
25,I025
26,I026
27,I027
28,I028
29,I029
30,I030
31,I031
33,I033
34,I034
35,I035
36,I036
37,I037
38,I038
39,I039
40,I040
41,I041
42,I042
43,I043
44,I044
45,I045
46,I046
48,I048
49,I049
50,I050
51,I051
52,I052
53,I053
54,I054
55,I055
56,I056
57,I057
58,I058
59,I059
60,I060
61,I061
62,I062
63,I063
64,I064
65,I065
66,I066
67,I067
68,I068
69,I069
70,I070
71,I071
72,I072
73,I073
74,I074
75,I075
76,I076
77,I077
78,I078
79,I079
80,I080
81,I081
83,I083
84,I084
85,I085
86,I086
87,I087
88,I088
89,I089
90,I090
91,I091
92,I092
93,I093
94,I094
95,I095
96,I096
97,I097
98,I098
99,I099
100,I100
101,I101
102,I102
103,I103
104,I104
105,I105
106,I106
107,I107
108,I108
109,I109
110,I110
111,I111
112,I112
113,I113
114,I114
115,I115
116,I116
117,I117
118,I118
119,I119
120,I120
121,I121
122,I122
123,I123
126,I126
127,I127
128,I128
129,I129
130,I130
131,I131
132,I132
134,I134
135,I135
136,I136
137,I137
138,I138
139,I139
140,I140
141,I141
142,I142
143,I143
144,I144
145,I145
146,I146
148,I148
150,I150
151,I151
153,I153
154,I154
156,I156
157,I157
158,I158
159,I159
160,I160
161,I161
162,I162
163,I163
164,I164
165,I165
166,I166
167,I167
168,I168
169,I169
170,I170
172,I172
173,I173
174,I174
175,I175
176,I176
177,I177
178,I178
179,I179
180,I180
181,I181
182,I182
183,I183
184,I184
185,I185
186,I186
188,I188
189,I189
191,I191
192,I192
193,I193
194,I194
195,I195
196,I196
197,I197
198,I198
199,I199
200,I200
201,I201
202,I202
204,I204
205,I205
206,I206
207,I207
208,I208
209,I209
210,I210
211,I211
212,I212
213,I213
214,I214
216,I216
217,I217
218,I218
219,I219
221,I221
222,I222
223,I223
224,I224
225,I225
226,I226
227,I227
228,I228
229,I229
230,I230
231,I231
232,I232
233,I233
234,I234
236,I236
237,I237
238,I238
239,I239
240,I240
241,I241
242,I242
244,I244
246,I246
247,I247
248,I248
249,I249
250,I250
251,I251
252,I252
253,I253
254,I254
255,I255
256,I256
257,I257
258,I258
259,I259
260,I260
261,I261
262,I262
263,I263
264,I264
265,I265
266,I266
267,I267
268,I268
269,I269
270,I270
274,I274
275,I275
276,I276
277,I277
278,I278
279,I279
280,I280
282,I282
284,I284
285,I285
286,I286
287,I287
288,I288
289,I289
290,I290
291,I291
292,I292
293,I293
294,I294
295,I295
296,I296
297,I297
298,I298
299,I299
300,I300
302,I302
303,I303
304,I304
305,I305
306,I306
307,I307
308,I308
309,I309
310,I310
311,I311
312,I312
313,I313
314,I314
315,I315
316,I316
317,I317
318,I318
319,I319
320,I320
321,I321
322,I322
324,I324
325,I325
326,I326
327,I327
328,I328
329,I329
330,I330
331,I331
332,I332
333,I333
334,I334
335,I335
336,I336
337,I337
338,I338
340,I340
341,I341
342,I342
344,I344
345,I345
347,I347
348,I348
350,I350
351,I351
353,I353
354,I354
356,I356
357,I357
358,I358
359,I359
360,I360
361,I361
362,I362
363,I363
364,I364
365,I365
367,I367
368,I368
369,I369
370,I370
371,I371
372,I372
373,I373
375,I375
376,I376
377,I377
378,I378
379,I379
380,I380
381,I381
382,I382
383,I383
384,I384
385,I385
386,I386
387,I387
388,I388
389,I389
390,I390
391,I391
392,I392
393,I393
394,I394
395,I395
396,I396
397,I397
398,I398
399,I399
400,I400
401,I401
402,I402
403,I403
404,I404
405,I405
406,I406
407,I407
408,I408
409,I409
410,I410
411,I411
412,I412
413,I413
414,I414
415,I415
416,I416
417,I417
418,I418
419,I419
420,I420
422,I422
423,I423
424,I424
425,I425
426,I426
427,I427
428,I428
429,I429
430,I430
431,I431
432,I432
433,I433
434,I434
435,I435
436,I436
437,I437
438,I438
439,I439
440,I440
441,I441
442,I442
443,I443
444,I444
445,I445
446,I446
447,I447
448,I448
449,I449
450,I450
451,I451
452,I452
453,I453
454,I454
455,I455
456,I456
457,I457
458,I458
459,I459
460,I460
461,I461
462,I462
463,I463
464,I464
465,I465
467,I467
468,I468
469,I469
470,I470
473,I473
474,I474
475,I475
476,I476
477,I477
478,I478
479,I479
480,I480
481,I481
482,I482
483,I483
484,I484
485,I485
486,I486
487,I487
488,I488
489,I489
490,I490
491,I491
492,I492
493,I493
494,I494
495,I495
496,I496
497,I497
498,I498
499,I499
500,I500
501,I501
502,I502
503,I503
504,I504
505,I505
506,I506
507,I507
508,I508
510,I510
511,I511
512,I512
515,I515
516,I516
517,I517
518,I518
519,I519
521,I521
522,I522
523,I523
524,I524
525,I525
526,I526
527,I527
528,I528
531,I531
532,I532
533,I533
534,I534
535,I535
536,I536
537,I537
538,I538
539,I539
541,I541
542,I542
543,I543
544,I544
546,I546
547,I547
548,I548
549,I549
550,I550
551,I551
552,I552
553,I553
554,I554
555,I555
556,I556
558,I558
559,I559
560,I560
561,I561
562,I562
563,I563
565,I565
566,I566
567,I567
568,I568
569,I569
571,I571
572,I572
573,I573
574,I574
575,I575
576,I576
577,I577
578,I578
579,I579
582,I582
584,I584
585,I585
586,I586
587,I587
588,I588
589,I589
591,I591
592,I592
593,I593
594,I594
595,I595
596,I596
597,I597
598,I598
599,I599
600,I600
601,I601
603,I603
605,I605
606,I606
607,I607
608,I608
609,I609
610,I610
611,I611
612,I612
613,I613
614,I614
616,I616
617,I617
618,I618
619,I619
621,I621
622,I622
623,I623
625,I625
626,I626
627,I627
629,I629
630,I630
631,I631
632,I632
633,I633
634,I634
635,I635
636,I636
637,I637
638,I638
639,I639
640,I640
641,I641
642,I642
643,I643
644,I644
646,I646
648,I648
651,I651
652,I652
653,I653
661,I661
662,I662
